firstName,lastName,email,middleInitial,phone,defaultAddressId,uid,Address,LatLong
Rafael,Flores,a1@mail.com,,,,,"MHVF+745 Iloilo City, Iloilo","10.693216074517219, 122.5728550790729"
Maria,Domingo,a2@mail.com,,,,,"MHW9+5WV, Iznart St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.695605595907706, 122.56979284644763"
Fernando,Domingo,a3@mail.com,,,,,"5 Valeria St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.700793690676802, 122.56787785547519"
Juan,Aquino,a4@mail.com,,,,,"MHVG+JFX, Zamora St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.694205369617306, 122.57620488334796"
Isabel,Ortega,a5@mail.com,,,,,"634 Arroyo St, Villa Arevalo District, Iloilo City, Iloilo","10.689154832134435, 122.51471387907291"
Rosa,Reyes,a6@mail.com,,,,,"286 Senator Benigno S. Aquino Jr. Ave, Mandurriao, Iloilo City, 5000 Iloilo","10.709668489446685, 122.55171293674582"
Manuel,Ortega,a7@mail.com,,,,,"Baluarte, 251 Lopez Jaena St, Molo, Iloilo City, Iloilo","10.692267222023764, 122.54779304201753"
Antonio,Villanueva,a8@mail.com,,,,,"183 JM Basa St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.694572416902728, 122.57061949441834"
Carmen,Castro,a9@mail.com,,,,,"217 Arroyo St, La Paz, Iloilo City, Iloilo","10.709818847496862, 122.5668376944185"
Dolores,Ortega,a10@mail.com,,,,,"Iloilo City Proper, Iloilo City, Iloilo","10.70080373171863, 122.56217829441837"
Ana,Morales,a11@mail.com,,,,,"Saint Paul's Hospital, General Luna St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.70193610542879, 122.56682005630992"
Luisa,Lopez,a12@mail.com,,,,,"Manfred Inn General Luna St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.701204337465274, 122.56368033150716"
Pedro,Torres,a13@mail.com,,,,,"Ledesma St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.696135986514445, 122.5668522838016"
Dolores,Cruz,a14@mail.com,,,,,"61 JM Basa St, Iloilo City Proper, Iloilo City, Iloilo","10.693671809839737, 122.57118144889195"
Luisa,Aquino,a15@mail.com,,,,,"MHW3+8M4, Infante St, Molo, Iloilo City, Iloilo","10.695831091291053, 122.55418952191008"
Fernando,Morales,a16@mail.com,,,,,"Block 1 Lot 2 Imperial Homes 2 Subdivision, Jaro, Iloilo City, 5000 Iloilo","10.742063028487895, 122.5619887664174"
Miguel,Silva,a17@mail.com,,,,,"Lopez Jaena corner West Avenue, Tanza, Iloilo City, 5000 Iloilo","10.692877071498765, 122.5557114724378"
Teresa,Ramos,a18@mail.com,,,,,"261 Delgado St, Iloilo City Proper, Iloilo City, Iloilo","10.697748916568479, 122.56608463674563"
Luisa,Cruz,a19@mail.com,,,,,"MGXX+8JQ, Molo, Iloilo City, Iloilo","10.698389725990893, 122.54905818808767"
Ana,Reyes,a20@mail.com,,,,,"San Jose St, Molo, Iloilo City, 5000 Iloilo","10.696512744715118, 122.54061142917513"
Miguel,Ramos,a21@mail.com,,,,,"240 Jalandoni St, Iloilo City Proper, Iloilo City, Iloilo","10.696478209850888, 122.5618746133204"
Isabel,Torres,a22@mail.com,,,,,"206 Ledesma St, Iloilo City Proper, Iloilo City, Iloilo","10.695847486518929, 122.56659839441828"
Juan,Aquino,a23@mail.com,,,,,"734 E Lopez St, Jaro, Iloilo City, 5000 Iloilo","10.723028879872572, 122.55800625023696"
Andres,Lopez,a24@mail.com,,,,,"PH28+PXR, General Luna St, Iloilo City Proper, Iloilo City, Iloilo","10.701914016105789, 122.56741817681659"
Carmen,Cruz,a25@mail.com,,,,,"MHX9+VVG, H. Montinola Corner Muelle Loney Street, Iloilo City, 5000 Iloilo","10.69982664836861, 122.56977852069858"
Ana,Castro,a26@mail.com,,,,,"Unit 2, Ground floor, Rizal St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.69217284373197, 122.57088359078847"
Ana,Navarro,b1@mail.com,,,,,"MHRM+V62, Parola Wharf, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.692267726782447, 122.58296426027356"
Dolores,Reyes,b2@mail.com,,,,,"292 Duran St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.692636716162635, 122.57846887784356"
Fernando,Morales,b3@mail.com,,,,,"PHH5+VJ3, Washington St, Jaro, Iloilo City, Iloilo","10.729664902610212, 122.55903374923518"
Elena,Torres,b4@mail.com,,,,,"PGGX+GM6, Barangay Rd, Jaro, Iloilo City, 5000 Iloilo","10.72627059823136, 122.54910957579688"
Dolores,Ramos,b5@mail.com,,,,,"PGFX+XPC, Mandurriao, Iloilo City, Iloilo","10.724995088896147, 122.5492383219466"
Sofia,Garcia,b6@mail.com,,,,,"PG9V+CGJ, Q. Abeto St, Mandurriao, Iloilo City, 5000 Iloilo","10.718575295042395, 122.5437880731853"
Rafael,Ramos,b7@mail.com,,,,,"23 Q. Abeto St, Mandurriao, Iloilo City, 5000 Iloilo","10.717805753932439, 122.53811251890171"
Sofia,Morales,b8@mail.com,,,,,"De Leon St. Mandurriao, Brgy. Onate Blk2, Lot 1&2, Sto. Domingo JVillage, 2, Mandurriao, Iloilo City, 5000 Iloilo","10.716361541449697, 122.53243696463457"
Fernando,Fernandez,b9@mail.com,,,,,"Pakiad Rd, Mandurriao, Iloilo City, 5000 Iloilo","10.713462553927167, 122.52588164579065"
Maria,Cruz,b10@mail.com,,,,,"Unit L3, 24 E Lopez St, Jaro, Iloilo City, 5000 Iloilo","10.721225302935192, 122.55858758400535"
Pedro,Fernandez,b11@mail.com,,,,,"68 Commission Civil St, Jaro, Iloilo City, Iloilo","10.722525280218079, 122.55987965021075"
Teresa,Aquino,b12@mail.com,,,,,"M.H. Del Pilar St, Jaro, Iloilo City, 5000 Iloilo","10.720453438816593, 122.56358012761791"
Isabel,Navarro,b13@mail.com,,,,,"Del Carmen St, Jaro, Iloilo City, Iloilo","10.71862533169458, 122.5632390221262"
Miguel,Domingo,b14@mail.com,,,,,"5 Commission Civil St, La Paz, Iloilo City, Iloilo","10.717609711879083, 122.56479983805457"
Isabel,Navarro,b15@mail.com,,,,,"E Lopez St, Jaro, Iloilo City, 5000 Iloilo","10.716055806927404, 122.56270152259091"
Juan,Morales,b16@mail.com,,,,,"Brgy Burgos St, La Paz, Iloilo City, 5000 Iloilo","10.71650268235842, 122.56593685619119"
Fernando,Domingo,b17@mail.com,,,,,"CLK building, Jereos Street CLK Building, Jereos Street Corner Gustilo Brgy. Jereos , Lapaz Iloilo City, Iloill City, 5000 Iloilo","10.715253460711734, 122.56945127609445"
Juan,Domingo,b18@mail.com,,,,,"22 Jereos St , La Paz, Iloilo City, Iloilo","10.713892514225698, 122.57034021761656"
Teresa,Lopez,b19@mail.com,,,,,"Urban Inn Hotel, Luna St, La Paz, Iloilo City, 5000 Iloilo","10.709761394723595, 122.56651828588126"
Rafael,Mendoza,b20@mail.com,,,,,"PH69+PPP, 11 Burgos St, La Paz, Iloilo City, 5000 Iloilo","10.711284862693354, 122.56708679500034"
Carmen,Silva,b21@mail.com,,,,,"PH5C+F47, La Paz, Iloilo City, Iloilo","10.708689884335064, 122.57024977291054"
Rosa,Garcia,b22@mail.com,,,,,"PH5C+M78, Magdalo, La Paz, Iloilo City, Iloilo","10.709202787877052, 122.57068390713138"
Dolores,Domingo,b23@mail.com,,,,,"Deles, jover street, La Paz, Iloilo City, Iloilo","10.708679727823096, 122.57046684001553"
Manuel,Fernandez,b24@mail.com,,,,,"Brgy, Divinagracia St, La Paz, Iloilo City, 5000 Iloilo","10.70850960615462, 122.57086221226228"
Fernando,Reyes,b25@mail.com,,,,,"Zone 3, Divinagracia, Iloilo City, 5000 Iloilo","10.708905710189635, 122.57260391741248"
Miguel,Silva,b26@mail.com,,,,,"PH5C+3H9 Divinagracia, La Paz, Iloilo City, Iloilo","10.707728290737284, 122.57159895437368"
Antonio,Delgado,c1@mail.com,,,,,"Block 5 Sinikway, Lapuz, Iloilo City, 5000 Iloilo","10.7068020937127, 122.57434016603966"
Miguel,Silva,c2@mail.com,,,,,"PH4G+Q4R, Block 4, Lapuz, Iloilo City, Iloilo","10.706981910152239, 122.57528022061973"
Isabel,Villanueva,c3@mail.com,,,,,"Block 6, Lapuz, Iloilo City, 5000 Iloilo","10.706658240480987, 122.57580996449013"
Andres,Bautista,c4@mail.com,,,,,"PH4H+R27, Lapuz, Iloilo City, Iloilo","10.707082228750158, 122.57752055562071"
Carmen,Fernandez,c5@mail.com,,,,,"PH64+XGR, Mandurriao, Iloilo City, Iloilo","10.712503999022333, 122.55624745262996"
Maria,Mendoza,c6@mail.com,,,,,"Block 6 Lot 5 Phase 2, Mandurriao, Iloilo City, 5020 Iloilo","10.713121839358452, 122.55388430148315"
Andres,Lopez,c7@mail.com,,,,,"Blk 2 lot 4 brgy, Neighborhood street, Mandurriao, Iloilo City, 5000 Iloilo","10.712207618954421, 122.55310383683094"
Carlos,Navarro,c8@mail.com,,,,,"Gaisano City, Times Square, 2/F City, Benigno Aquino Jr. Avenue, Mandurriao, Iloilo City, 5000 Iloilo","10.710490210110748, 122.55369521267392"
Fernando,Torres,c9@mail.com,,,,,"Brgy, 17B Pasencia T. Pison Ave, Mandurriao, Iloilo City, 5000 Iloilo","10.709147359212489, 122.54810141758803"
Manuel,Ortega,c10@mail.com,,,,,"PG5R+7VQ, R.Mapa St, Mandurriao, Iloilo City, Iloilo","10.708221417566063, 122.54222527072996"
Dolores,Aquino,c11@mail.com,,,,,"Pomelo St, Mandurriao, Iloilo City, 5000 Iloilo","10.707924209023794, 122.5330587685507"
Rosa,Garcia,c12@mail.com,,,,,"PG4M+Q5Q, Mandurriao, Iloilo City, Iloilo","10.710008910914272, 122.53322719085412"
Fernando,Torres,c13@mail.com,,,,,"PG6P+M62, Mandurriao, Iloilo City, Iloilo","10.711663790852676, 122.53550323115047"
Ana,Flores,c14@mail.com,,,,,"Brgy, 176 El Pueblo Concepcion, Mandurriao, Iloilo City, 5000 Iloilo","10.7098618100339, 122.5345464989132"
Maria,Torres,c15@mail.com,,,,,"PG4M+P2F, Mandurriao, Iloilo City, Iloilo","10.706804853791983, 122.53260496402223"
Carmen,Garcia,c16@mail.com,,,,,"Mandurriao, Iloilo City, Iloilo","10.703133938140942, 122.53311664939821"
Fernando,Silva,c17@mail.com,,,,,"Unit 1, Lenks Apartment, Don Candido Subdivision, Molo, Iloilo City, Iloilo","10.693922175872622, 122.53468973027131"
Rosa,Aquino,c18@mail.com,,,,,"MGRM+JJJ, Molo, Iloilo City, Iloilo","10.691615836042711, 122.53401713919682"
Rafael,Bautista,c19@mail.com,,,,,"MGQQ+P4J, Compania Fundidor road, Molo, Iloilo City, Iloilo","10.689362689554551, 122.53782511274441"
Antonio,Lopez,c20@mail.com,,,,,"MGQQ+5G3, Compania St, Molo, Iloilo City, Iloilo","10.687619885851216, 122.53900226438385"
Sofia,Villanueva,c21@mail.com,,,,,"MGPR+4WQ, Molo, Iloilo City, Iloilo","10.685429799716903, 122.54232967968511"
Carlos,Ortega,c22@mail.com,,,,,"Juntado Subdivision, 1st, Molo, Iloilo City, 5000 Iloilo","10.684635504023369, 122.54306343751124"
Fernando,Torres,c23@mail.com,,,,,"77-A Molo Blvd, Molo, Iloilo City, Iloilo","10.68753724000826, 122.54760999821386"
Elena,Silva,c24@mail.com,,,,,"MGRV+MQ7, Molo, Iloilo City, Iloilo","10.691707691809295, 122.54442363029904"
Maria,Flores,c25@mail.com,,,,,"MGRR+XQ3, San Juan St, Molo, Iloilo City, Iloilo","10.692320750609946, 122.54184174437337"
Maria,Flores,c26@mail.com,,,,,"MGVP+47F, Molo, Iloilo City, Iloilo","10.69286440548857, 122.53568131749606"
Pedro,Villanueva,d1@mail.com,,,,,"Block 12 Lot 4 & 6, Villa Rosario Subdivision, Molo, Iloilo City, Iloilo","10.696361509670245, 122.53501034106385"
